C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Dan Vladar (36810040),Dan Vladar,36810040,G,7500,CGY@DET 11/27/2024 07:30PM ET,CGY,12.19
,,,,,,,,,,C,Brayden Point (36808553),Brayden Point,36808553,C/UTIL,7500,WSH@TBL 11/27/2024 07:30PM ET,TBL,11.79
,,,,,,,,,,LW,Jake Guentzel (36808885),Jake Guentzel,36808885,W/UTIL,7500,WSH@TBL 11/27/2024 07:30PM ET,TBL,11.86
,,,,,,,,,,G,Tristan Lennox (36810041),Tristan Lennox,36810041,G,7500,BOS@NYI 11/27/2024 07:30PM ET,NYI,0
,,,,,,,,,,D,Zach Werenski (36809501),Zach Werenski,36809501,D/UTIL,7500,MTL@CBJ 11/27/2024 07:30PM ET,CBJ,15.13
,,,,,,,,,,G,Ukko-Pekka Luukkonen (36810043),Ukko-Pekka Luukkonen,36810043,G,7400,MIN@BUF 11/27/2024 07:00PM ET,BUF,13.76
,,,,,,,,,,C,Aleksander Barkov (36808555),Aleksander Barkov,36808555,C/UTIL,7400,TOR@FLA 11/27/2024 07:30PM ET,FLA,13.61
,,,,,,,,,,D,Quinn Hughes (36809503),Quinn Hughes,36809503,D/UTIL,7400,VAN@PIT 11/27/2024 07:30PM ET,VAN,13.26
,,,,,,,,,,RW,Travis Konecny (36808887),Travis Konecny,36808887,W/UTIL,7400,PHI@NSH 11/27/2024 08:00PM ET,PHI,14.03
,,,,,,,,,,G,David Rittich (36810042),David Rittich,36810042,G,7400,WPG@LAK 11/27/2024 10:00PM ET,LAK,7.48
,,,,,,,,,,D,Rasmus Dahlin (36809505),Rasmus Dahlin,36809505,D/UTIL,7300,MIN@BUF 11/27/2024 07:00PM ET,BUF,13.65
,,,,,,,,,,G,Igor Shesterkin (36810046),Igor Shesterkin,36810046,G,7300,NYR@CAR 11/27/2024 07:00PM ET,NYR,15.47
,,,,,,,,,,C,John Tavares (36808557),John Tavares,36808557,C/UTIL,7300,TOR@FLA 11/27/2024 07:30PM ET,TOR,13.9
,,,,,,,,,,RW,Mitch Marner (36808889),Mitch Marner,36808889,W/UTIL,7300,TOR@FLA 11/27/2024 07:30PM ET,TOR,13.38
,,,,,,,,,,G,Anthony Stolarz (36810045),Anthony Stolarz,36810045,G,7300,TOR@FLA 11/27/2024 07:30PM ET,TOR,16.14
,,,,,,,,,,G,Sam Montembeault (36810044),Sam Montembeault,36810044,G,7300,MTL@CBJ 11/27/2024 07:30PM ET,MTL,10.19
,,,,,,,,,,G,James Reimer (36810053),James Reimer,36810053,G,7200,MIN@BUF 11/27/2024 07:00PM ET,BUF,9.7
,,,,,,,,,,G,Adin Hill (36810051),Adin Hill,36810051,G,7200,VGK@COL 11/27/2024 10:00PM ET,VGK,10.35
,,,,,,,,,,G,Ilya Samsonov (36810052),Ilya Samsonov,36810052,G,7200,VGK@COL 11/27/2024 10:00PM ET,VGK,14.29
,,,,,,,,,,C,Sebastian Aho (36808559),Sebastian Aho,36808559,C/UTIL,7200,NYR@CAR 11/27/2024 07:00PM ET,CAR,11.72
,,,,,,,,,,RW,Martin Necas (36808891),Martin Necas,36808891,W/UTIL,7200,NYR@CAR 11/27/2024 07:00PM ET,CAR,15.4
,,,,,,,,,,G,Logan Thompson (36810049),Logan Thompson,36810049,G,7200,WSH@TBL 11/27/2024 07:30PM ET,WSH,15.74
,,,,,,,,,,G,Charlie Lindgren (36810050),Charlie Lindgren,36810050,G,7200,WSH@TBL 11/27/2024 07:30PM ET,WSH,10.86
,,,,,,,,,,G,Erik Portillo (36810047),Erik Portillo,36810047,G,7200,WPG@LAK 11/27/2024 10:00PM ET,LAK,0
,,,,,,,,,,G,Darcy Kuemper (36810048),Darcy Kuemper,36810048,G,7200,WPG@LAK 11/27/2024 10:00PM ET,LAK,10.4
